Sex,Branch,Dropper?,Mom's Education,Dad's Education,Study Time?,Hostel?,"At the time of Spardha/Kirti/Manthan, approx. time given per day? (hours)","Time spent outside your room[except classes]? (daily average, in hours)",Attendance?,Relationship status?,Library?,Sleep Duration(Hrs)?,Tut taken seriously,Quiz taken seriously,Midsem taken seriously,Endsem taken seriously,Aiming for branch change,Coaching CitySound,Coaching NameSound,Home CitySound,Dad's JobSound
0,9,0,4,4,0,9,0,12,87.5,1,1,1,3,5,5,5,2,3,3,8,6
0,9,0,3,4,2,5,5,4,95,1,0,0,3,4,5,5,4,9,2,8,7
0,5,0,1,3,0,1,3,2,87.5,1,0,1,3,5,5,5,2,7,8,8,6
0,4,0,1,2,1,1,1,3,95,1,1,1,4,4,5,5,3,5,8,8,8
0,4,0,4,3,1,1,3,8,87.5,1,0,0,4,3,4,5,4,5,1,8,7
0,1,0,4,4,1,9,1,2,95,1,0,1,4,5,5,5,1,5,8,8,3
0,1,0,4,4,1,9,2,3,95,1,0,1,4,4,5,5,1,5,8,8,3
1,7,0,4,4,2,3,8,15,87.5,1,2,-1,3,5,5,5,5,3,3,8,4
0,6,1,3,4,0,6,2,12,95,0,1,1,4,4,5,5,1,5,2,5,5
0,9,0,4,4,1,1,3,10,87.5,1,2,0,3,4,5,5,1,5,1,8,7
0,2,0,4,3,1,6,2,14,95,1,1,-1,4,5,5,5,3,5,1,2,4
0,1,0,4,4,1,1,1.5,3,95,1,0,0,1,3,5,5,1,5,1,8,4
0,5,0,3,4,1,1,0,7,95,1,2,1,5,5,5,5,4,4,8,8,6
0,1,0,4,4,0,6,0,14,95,1,1,0,3,4,4,5,1,5,6,8,5
0,6,1,3,3,1,0,5,10,87.5,1,1,1,2,4,5,5,1,5,8,8,7
0,2,0,4,4,1,2,2,9,95,1,0,0,2,4,5,5,1,5,8,8,6
0,8,0,4,4,1,1,0,2,95,1,1,-2,3,4,4,5,4,5,1,8,5
0,3,0,3,3,0,4,0.5,12,87.5,1,1,0,3,5,5,5,4,4,8,4,6
1,9,0,4,4,0,3,1,12,87.5,1,2,1,2,5,5,5,1,5,6,8,5
0,2,0,4,4,0,1,1,6,87.5,1,1,0,2,5,5,5,1,1,3,8,4
0,2,0,3,3,0,0,1,9,87.5,1,1,0,3,5,5,5,1,5,2,8,7
0,7,1,4,4,0,7,1,2,87.5,1,0,2,1,5,5,5,1,6,8,8,6
0,5,0,1,3,0,7,2,9,95,0,0,1,2,4,4,5,5,3,3,8,8
0,5,0,3,4,1,7,0,4,87.5,1,0,1,4,4,4,5,3,6,8,8,6
0,8,0,3,3,0,5,1,3,87.5,1,1,0,2,3,4,5,3,5,1,8,3
0,1,0,4,4,0,9,3,16,87.5,1,0,0,1,4,5,5,1,2,8,3,3
1,8,0,4,4,1,3,0,15,87.5,1,2,1,2,4,4,5,1,5,6,8,4
0,1,0,1,4,0,9,0,6,87.5,1,1,0,2,4,4,4,1,8,5,8,7
1,6,0,3,4,1,3,0,7,87.5,1,2,0,4,4,4,5,1,8,8,8,6
0,3,0,1,2,0,1,0,14,95,1,2,0,4,5,5,5,3,5,1,8,8
0,4,0,3,3,1,4,1,13,87.5,1,1,0,3,4,4,4,1,6,4,8,6
0,2,0,3,3,0,4,1,8,87.5,1,0,0,3,3,4,5,3,2,7,3,5
1,5,1,3,4,1,3,0,9,95,1,1,0,3,5,5,5,1,6,7,8,7
0,1,0,4,4,1,1,1,1,95,1,2,2,5,5,5,5,1,5,8,8,7
0,2,1,3,3,0,7,1,18,87.5,0,0,0,5,5,5,5,1,9,8,6,6
0,9,0,2,2,0,9,6,8,95,0,1,-1,1,1,3,5,1,5,8,8,8
0,3,0,4,4,0,4,3,14,62.5,0,1,0,1,2,5,5,2,5,8,8,6
0,9,0,2,3,0,1,2,9,87.5,1,0,0,1,1,4,5,3,5,8,8,8
0,1,0,3,4,0,7,1,2,95,1,0,0,3,5,5,5,1,4,5,4,7
0,6,0,4,3,1,6,8,3,95,1,0,0,3,2,3,3,1,2,8,3,5
0,4,0,4,4,0,7,1,3,87.5,0,1,-1,2,4,5,5,4,2,7,8,4
0,5,0,4,4,2,7,2,6,95,1,2,0,4,5,5,5,1,5,1,8,7
0,5,0,3,3,0,4,5,12,87.5,1,1,1,3,3,4,4,3,6,2,8,6
0,1,0,4,3,1,6,1,4,95,1,0,1,4,5,5,5,1,5,5,8,7
0,5,0,3,3,0,5,0,3,87.5,1,0,-1,2,3,4,5,1,4,8,4,6
0,5,0,4,3,2,9,1,10,95,1,0,1,1,5,5,5,5,6,7,8,7
0,2,0,3,4,0,4,3,10,87.5,1,1,1,3,3,4,5,2,5,2,2,6
0,3,0,3,4,0,1,2,12,87.5,1,1,0,1,4,5,4,1,5,8,8,3
0,8,0,3,4,1,1,2,16,87.5,1,2,-1,4,5,5,5,5,5,8,8,5
0,6,0,2,2,1,2,1,1.5,95,1,2,-1,4,5,5,5,5,5,1,8,6
1,9,1,4,4,1,3,0,10,95,1,1,0,5,5,5,5,1,6,8,8,3
0,7,0,4,3,0,1,5,4,87.5,0,0,0,3,4,5,5,3,8,1,7,5
0,9,1,4,4,0,4,4,8,87.5,0,1,0,2,5,5,5,4,5,6,9,6
0,5,0,3,4,1,8,2,8,95,1,0,-1,2,3,4,5,1,5,8,8,6
0,6,0,3,3,2,9,3,6,87.5,1,2,0,5,5,5,5,3,5,8,8,8
0,2,0,3,4,0,1,1.5,12,87.5,1,0,1,1,3,4,4,1,9,1,6,6
0,5,0,2,3,1,5,8,10,87.5,1,0,0,3,4,4,4,3,6,2,8,6
0,6,0,3,2,1,7,2,8,87.5,1,1,0,1,5,5,5,4,6,8,8,6
0,5,0,3,3,0,4,1,9,62.5,1,1,1,1,4,5,5,1,5,8,8,8
1,6,0,3,3,0,3,4,9,62.5,0,1,0,2,4,5,5,1,6,7,8,6
0,4,0,4,4,2,4,4,14,95,1,1,-1,4,5,5,5,3,5,8,8,5
0,8,1,2,3,1,8,1,6,87.5,1,2,2,3,5,5,5,3,5,8,8,7
1,7,0,4,4,0,3,3,4,62.5,0,1,2,1,5,5,5,5,5,2,2,6
0,9,0,4,1,0,8,3,13,95,1,0,0,4,5,5,5,5,5,5,8,8
0,2,0,4,3,0,0,3,11,62.5,0,0,0,1,4,5,5,3,2,8,3,4
0,5,1,3,3,1,0,0,6,87.5,1,0,0,2,5,5,5,1,2,1,3,4
1,7,0,1,2,0,3,2,12,95,1,1,0,2,5,5,5,1,9,8,8,6
1,2,0,2,2,0,3,3,9,87.5,1,1,-1,3,4,5,5,1,5,2,8,7
0,5,1,4,4,0,9,6,14,95,1,2,-2,5,5,5,5,5,5,1,8,4
0,9,0,0,3,1,5,3,2,95,1,1,1,5,5,5,5,5,5,8,8,8
1,4,1,3,3,1,3,0,10,87.5,0,2,0,4,5,5,5,2,5,2,8,8
0,6,0,2,4,0,6,0.66,3,87.5,1,0,-1,2,4,4,4,1,5,1,8,8
0,1,0,3,3,0,0,2,14,87.5,1,0,0,1,2,4,5,1,1,8,8,6
0,8,0,3,4,1,1,2,10,87.5,1,1,1,3,4,4,4,4,5,7,8,7
0,8,0,4,4,2,6,1,10,95,1,1,1,3,5,5,5,1,8,8,7,5
1,5,0,4,4,0,3,5,12,95,1,0,1,2,5,5,5,2,5,7,8,6
1,4,0,4,3,0,3,0,15,95,1,0,-1,5,5,5,5,5,8,1,7,4
1,1,0,4,3,0,3,0,11,87.5,1,1,1,2,5,5,5,1,5,2,8,6
0,5,1,3,4,1,5,0,3,87.5,1,1,1,3,5,5,5,4,9,2,8,7
1,3,0,4,4,2,3,4,9,95,1,1,0,3,4,4,5,3,5,8,8,7
0,3,0,3,3,1,5,6,3,87.5,1,1,1,2,5,5,5,3,5,1,8,7
0,3,0,4,4,0,5,6,8,95,1,1,1,3,5,5,5,1,8,9,7,8
0,7,0,4,4,0,4,7,6,87.5,1,1,1,3,4,5,5,3,6,2,8,6
0,5,0,4,4,1,7,2,5,87.5,1,0,-1,4,5,5,5,5,5,7,8,6
0,9,0,3,3,1,0,4,3,95,1,0,1,2,5,5,5,5,6,8,8,6
0,5,1,2,4,0,5,5,12,95,1,0,0,3,5,5,5,5,6,4,8,6
1,1,1,4,4,1,3,5,10,95,0,2,1,4,4,3,2,1,6,2,8,6
0,1,0,1,3,1,1,3,2,95,1,0,1,3,5,5,5,1,8,8,7,7
0,6,1,4,4,0,9,3,7,87.5,1,2,-1,2,3,4,5,2,6,8,8,4
0,8,1,3,4,0,5,5,10,62.5,1,1,-1,2,3,4,5,4,1,6,8,6
0,1,0,3,4,0,4,2,1,95,1,0,0,4,5,5,5,1,5,1,8,7
1,5,0,4,4,1,3,0,9,95,1,0,0,4,5,5,5,3,5,7,3,6
0,4,0,3,3,0,8,2.5,12,95,1,0,1,2,5,5,5,5,2,8,3,3
0,4,0,3,3,0,1,1,11,87.5,1,0,1,2,4,5,5,2,8,9,7,7
0,5,0,4,3,1,2,1,2,87.5,1,1,-1,3,4,5,5,3,5,8,8,7
1,8,1,2,2,2,3,3,12,95,1,1,0,4,5,4,5,4,5,8,2,6
0,8,0,4,4,1,8,4,5,95,1,0,1,4,5,5,5,5,5,8,8,3
0,5,1,2,3,2,7,3,8,95,1,2,1,3,4,5,5,4,6,2,2,6
0,3,0,4,3,1,8,0,2,95,1,1,0,3,5,5,5,2,1,1,1,7
0,5,0,3,3,0,0,5,14,95,1,0,1,3,5,5,5,1,6,2,8,8
0,3,0,4,3,0,2,4,2,95,1,0,1,4,5,5,5,1,5,1,8,4
0,9,0,3,3,0,2,4,2,95,1,0,0,4,5,5,5,5,1,1,8,7
0,5,1,4,3,1,2,0,7,87.5,0,0,1,3,4,5,5,3,6,8,8,7
0,5,0,3,3,0,2,3,10,87.5,1,0,2,1,3,4,4,2,7,1,9,7
1,1,1,1,1,0,4,0,69,50,0,0,-2,1,1,1,1,5,5,8,9,8
0,7,0,2,3,1,8,2,3,87.5,1,1,-1,2,3,3,4,1,5,8,8,7
0,8,0,4,3,0,6,1,2,95,1,1,1,5,5,5,5,5,5,1,8,7
0,9,1,0,3,0,6,4,5,87.5,1,1,0,1,4,4,4,1,6,7,8,7
0,7,0,1,3,1,6,2,2.5,87.5,1,0,1,3,3,5,5,1,6,4,8,7
0,5,1,3,2,0,6,3,2,87.5,0,1,2,3,4,4,4,3,6,2,8,6
0,7,0,3,4,0,6,5,8,87.5,1,0,0,3,4,4,4,3,8,5,8,7
0,3,0,3,4,0,6,0,5,87.5,1,2,0,1,1,4,5,1,5,8,8,6
0,9,1,2,4,1,6,3,2,95,1,1,0,5,5,5,5,1,5,8,8,6
0,9,1,3,3,2,6,2,2,87.5,0,1,0,1,1,5,5,1,5,2,2,7
0,4,1,2,2,0,6,0,6,87.5,1,1,0,1,4,4,5,1,6,2,8,7
0,7,1,2,2,1,6,0,2,87.5,1,1,0,3,5,5,5,1,6,7,8,6
0,4,1,4,4,1,6,9,6,87.5,1,1,0,2,4,4,4,1,6,2,8,2
0,5,1,3,4,0,6,2,15,87.5,1,0,0,3,5,5,5,5,5,2,2,3
0,5,1,0,1,0,6,1.5,1.5,87.5,0,0,0,2,4,5,5,1,5,8,8,6
0,5,1,0,0,0,6,2,4,87.5,0,2,1,1,4,5,5,4,6,8,8,6
0,3,1,4,3,0,6,5,4.5,87.5,1,0,2,1,4,5,5,2,6,4,8,7
0,3,0,2,2,0,6,0,3,87.5,1,0,1,1,1,3,4,1,5,6,8,6
0,4,0,4,4,1,6,4,2,95,1,0,0,4,4,5,5,5,4,8,4,5
0,2,1,3,4,0,6,2,10,87.5,1,0,0,3,5,5,5,1,6,2,8,7
0,5,0,3,3,1,6,0,0.5,87.5,1,1,2,4,5,5,5,4,8,9,7,3
0,4,0,4,3,0,6,0,4,95,1,0,0,2,3,4,4,1,5,1,8,8
0,6,0,3,3,0,6,3,4,87.5,1,0,0,1,1,1,1,1,5,3,5,5
0,3,0,4,4,0,6,1,9,62.5,1,0,1,2,4,3,4,2,7,1,9,4
0,5,0,0,4,0,6,4,6,87.5,1,0,2,2,4,4,4,1,5,8,8,7
0,5,0,4,3,0,6,0,6,87.5,1,0,1,1,4,4,4,2,6,2,8,5
0,1,0,3,4,0,6,4,10,87.5,0,1,-1,4,5,5,5,1,6,2,8,7
0,7,1,0,0,1,6,0,2,87.5,1,2,2,2,3,5,5,1,5,8,8,8
0,3,0,4,4,0,6,2,4,87.5,0,0,-1,1,4,4,5,1,6,2,8,5
0,3,0,4,4,0,6,4,4,87.5,0,1,0,2,5,5,5,1,6,4,8,7
0,1,0,4,3,0,6,1,2,62.5,1,0,0,2,4,4,4,1,6,2,8,7
0,4,1,2,3,1,6,2,5,87.5,1,1,-1,3,4,5,5,1,5,8,8,7
0,1,0,3,3,0,6,0.05,5,95,0,0,2,1,5,5,5,1,7,1,9,8
0,6,1,4,2,0,6,1,4,95,1,1,0,4,5,5,5,1,8,5,7,7
0,1,0,0,1,1,9,1,2,95,1,1,1,5,5,5,5,1,5,5,8,6
0,1,0,2,4,0,6,0,5,87.5,1,1,2,2,5,5,5,1,8,8,8,7
0,1,0,4,4,0,6,0.5,4,87.5,1,0,1,2,3,4,4,1,8,5,8,7
0,3,0,0,2,0,6,0,4,87.5,1,1,0,1,2,2,5,1,8,8,7,7
0,9,1,3,3,0,6,3,4,87.5,0,0,0,3,5,5,5,5,9,2,8,8
0,3,1,3,3,0,6,2,4,87.5,1,1,0,3,5,5,5,1,6,4,8,7
0,3,1,3,3,0,6,2,1.5,62.5,1,0,0,1,3,3,5,5,5,1,8,1
0,0,0,3,3,0,6,0,12,87.5,1,0,1,5,3,4,5,1,5,8,8,4
0,0,1,4,4,0,6,6,12,87.5,0,0,1,3,3,4,4,1,4,8,4,4
0,7,1,4,4,1,6,18,18,87.5,0,0,-2,1,4,5,5,1,5,8,8,5
0,2,1,1,1,0,6,3,2,95,1,1,1,3,4,5,5,3,6,8,8,6
0,2,0,3,3,0,6,2,2,95,1,0,-1,1,3,3,4,1,9,1,6,7
0,7,1,2,3,1,6,1,5,95,1,2,1,5,5,5,5,1,7,8,8,6
0,4,0,0,0,0,6,4,6,87.5,1,0,0,1,1,1,1,1,5,8,8,8
0,3,0,1,1,0,6,1,5,87.5,1,0,0,2,4,5,5,3,5,5,8,6
0,3,0,4,4,0,6,2,4,87.5,1,1,1,1,4,5,5,1,6,2,8,6
0,1,1,4,3,0,6,1,2,62.5,1,0,1,1,1,1,2,1,6,8,8,5
0,4,0,3,3,0,6,1,5,87.5,1,0,2,1,1,2,3,1,5,8,8,5
0,7,1,1,3,0,6,24,7,87.5,1,2,0,1,1,5,5,1,5,8,8,8
0,7,0,1,2,0,6,0,5,87.5,1,0,2,1,1,2,3,1,5,9,8,8
0,1,0,3,3,2,6,4,3,95,1,0,-1,3,4,4,4,1,5,1,8,4
0,8,0,2,1,1,6,1,2,95,1,1,1,4,5,5,5,4,5,2,8,6
0,6,0,3,3,0,1,0,4,87.5,1,0,-2,3,4,4,4,1,8,9,3,5
0,4,1,4,3,0,9,0,1,95,1,2,1,4,4,4,4,1,1,1,8,8
0,4,0,4,3,0,0,4,6,87.5,1,0,-2,1,1,3,5,1,5,1,8,7
1,9,0,3,3,0,3,2,3,95,1,2,1,1,5,5,5,1,6,8,8,7
0,4,0,3,1,0,0,3,4,87.5,1,0,1,1,2,3,5,1,5,1,8,6
0,6,1,3,3,1,1,0,2,62.5,1,0,0,1,3,3,4,1,5,8,8,7
0,8,0,3,4,0,1,0,5,87.5,0,0,2,1,3,4,5,1,7,8,9,7
0,7,0,3,3,1,1,1.5,6,87.5,1,1,1,3,2,5,5,1,5,1,8,7
0,3,0,3,3,0,1,0,2,95,1,1,0,5,5,5,5,5,5,1,8,7
0,3,0,3,3,1,1,2,2,87.5,1,0,1,4,4,5,5,5,1,1,1,7
0,9,1,3,3,2,1,2.5,2,87.5,1,0,1,3,3,5,5,2,3,3,8,5
0,1,0,3,3,1,1,4,4,87.5,1,0,0,2,5,5,5,1,5,5,8,7
0,9,1,1,3,0,1,4,8,87.5,1,2,-1,1,2,4,5,1,5,8,8,7
0,1,0,2,3,1,1,2,3,95,1,2,1,3,5,5,5,1,5,8,8,8
0,3,1,2,3,0,1,0,3,87.5,1,1,1,2,4,4,4,1,6,2,8,7
0,0,0,4,4,0,1,8,4,87.5,1,0,0,4,4,4,4,1,5,8,5,4
0,9,1,1,1,0,1,2,4,87.5,0,0,-1,1,1,3,4,1,5,8,8,6
