Sex,Branch,Dropper?,Mom's Education,Dad's Education,Study Time?,Hostel?,"At the time of Spardha/Kirti/Manthan, approx. time given per day? (hours)","Time spent outside your room[except classes]? (daily average, in hours)",Attendance?,Relationship status?,Library?,Sleep Duration(Hrs)?,Tut taken seriously,Quiz taken seriously,Midsem taken seriously,Endsem taken seriously,Aiming for branch change,Coaching CitySound,Coaching NameSound,Home CitySound,Dad's JobSound
0,7,0,3,3,0,1,2,6,95,1,0,1,3,3,4,4,1,6,2,8,7
0,5,1,3,3,2,1,4,7,87.5,1,1,1,3,5,5,5,2,5,8,8,7
0,7,1,4,4,0,1,6,7,87.5,0,0,2,1,3,4,5,1,6,2,8,7
0,3,0,3,4,1,1,0,2,87.5,1,0,2,4,4,5,5,4,2,8,3,3
0,6,1,0,3,0,1,2,14,87.5,1,2,0,3,4,5,5,3,5,7,8,7
0,7,0,3,3,0,1,5,5,87.5,1,0,1,2,5,5,5,3,7,1,9,6
0,7,0,4,4,1,1,3,3,95,1,0,0,4,5,5,5,5,5,2,2,3
0,9,1,0,0,0,9,1,4,87.5,1,1,2,2,4,5,5,1,1,1,8,8
0,9,0,2,3,0,9,4,14,87.5,0,2,2,2,3,4,4,5,1,8,1,6
0,5,0,0,1,0,9,3,3,62.5,1,1,1,3,3,5,5,3,7,8,8,8
0,9,1,0,2,0,9,1,2,87.5,1,1,2,1,3,3,3,1,5,8,8,8
0,5,0,0,2,2,9,2,5,95,1,0,-1,2,4,4,4,3,9,1,6,6
0,3,1,1,0,0,8,5,2,95,1,0,1,5,4,4,5,2,6,8,1,6
0,7,1,0,2,0,8,5,4,87.5,1,0,-1,2,5,5,5,3,4,8,8,8
0,3,0,0,0,0,8,0,3,95,1,0,0,1,4,5,5,3,5,8,8,8
0,2,1,0,0,0,8,2,3,87.5,1,0,0,3,4,4,5,3,4,8,8,8
0,7,1,2,4,2,9,2,5,87.5,1,0,2,1,3,4,5,1,6,7,8,7
0,0,0,3,4,0,8,2,2,87.5,1,2,1,4,4,4,5,1,5,8,8,8
0,7,0,2,4,1,8,3,3,87.5,1,1,1,4,5,5,5,5,1,8,8,7
0,5,0,0,0,0,9,0,2,95,1,0,-1,2,2,3,3,1,3,3,8,6
0,8,1,3,4,0,8,4,3,87.5,1,1,0,3,5,5,5,2,6,4,8,8
0,4,0,2,3,0,8,5,5,62.5,1,0,1,4,4,5,5,2,6,4,8,7
0,7,1,0,2,0,9,3,5,87.5,1,1,0,2,5,5,5,3,6,2,8,8
0,9,0,3,3,0,9,3,3,87.5,1,0,2,1,5,5,5,1,2,8,8,4
0,7,1,1,1,0,9,3,3,87.5,1,1,1,1,5,5,5,1,6,7,8,8
0,8,1,4,3,0,9,4,1,62.5,1,1,-1,1,2,3,4,4,3,3,8,7
0,2,1,4,4,0,9,4,13,95,0,0,-1,3,4,4,4,1,5,8,8,7
0,1,0,4,4,0,9,0,12,95,1,0,2,1,1,3,3,1,6,7,8,7
0,8,0,2,3,0,9,5,4,87.5,1,1,0,3,5,5,5,1,3,3,8,8
0,1,0,4,4,0,9,12,4,87.5,1,0,1,2,2,4,4,1,6,2,8,7
0,2,0,4,3,0,9,12,10,95,1,0,0,1,2,3,5,1,5,1,8,7
0,1,0,4,4,0,9,2.5,10,95,1,1,2,2,4,5,5,1,6,4,8,7
1,1,1,4,3,0,9,2,4,87.5,0,0,0,2,3,3,4,1,5,1,8,6
0,0,0,4,4,0,9,1,3,87.5,1,0,-2,1,2,3,4,1,5,3,8,4
0,1,0,2,4,0,9,2,2,95,1,0,0,5,4,5,5,1,5,8,8,7
0,1,0,4,4,0,9,1,1,62.5,1,1,2,1,2,3,3,1,4,8,4,5
0,7,1,3,4,0,1,0,6,62.5,1,0,-1,1,5,5,5,1,5,1,8,7
0,3,1,2,4,2,1,3,3,95,1,1,1,4,5,5,5,2,5,3,8,8
0,7,1,3,3,0,1,2,3,87.5,1,1,-1,1,3,4,5,1,5,9,8,7
0,7,0,3,4,0,1,2,2,87.5,1,0,0,3,5,5,5,3,6,2,8,6
0,3,0,4,4,1,1,1,3,95,1,0,1,2,5,5,5,5,5,2,2,7
1,8,0,4,4,0,9,1,1,87.5,1,0,1,2,3,4,4,1,5,7,8,6
0,6,0,3,3,0,9,3,1,95,1,0,1,3,5,5,5,1,4,8,8,3
0,2,0,1,3,2,9,2,2,95,1,0,2,5,5,5,5,1,8,9,8,6
0,6,0,3,3,1,9,0,2,95,1,0,2,4,4,5,5,4,8,8,7,6
0,4,0,4,4,1,1,1,5,95,1,0,0,5,5,5,5,5,5,8,8,7
0,6,0,4,3,0,9,1,2,95,1,0,1,3,4,5,5,2,5,8,8,7
0,3,0,1,3,0,1,1,3,87.5,0,0,2,2,2,3,3,1,8,5,8,6
0,1,0,4,4,1,1,0,2,87.5,1,1,1,5,5,5,5,1,6,7,8,7
0,2,0,0,1,0,9,1,2,95,1,1,1,1,3,5,5,1,6,4,8,6
0,4,0,3,3,0,9,4,2,87.5,1,1,2,5,5,5,5,3,5,8,8,7
0,2,0,1,3,1,1,0,1,87.5,1,2,1,4,5,5,5,1,7,8,9,4
0,4,1,3,4,1,9,2,3,87.5,1,0,-1,1,2,2,3,1,9,8,6,5
0,0,0,3,3,0,1,0,6,95,0,0,-1,3,3,3,4,1,5,8,8,7
0,4,0,3,3,0,9,0.5,1,95,1,0,1,3,4,3,4,3,5,1,8,5
0,7,1,3,3,0,1,0,3,87.5,1,0,0,1,3,3,3,1,8,8,8,7
0,4,0,3,3,1,9,3,2,87.5,1,0,1,2,5,5,5,3,6,4,8,6
0,9,0,3,1,0,1,2,3,62.5,1,1,-2,1,2,4,5,3,7,8,8,8
0,3,0,3,3,0,1,0,3,95,1,0,1,3,4,5,5,3,8,9,8,7
0,3,0,3,4,0,9,4,3,95,1,1,0,2,4,5,5,1,6,2,8,7
0,3,1,2,3,0,9,4,3,95,1,1,1,3,4,5,5,2,6,2,8,7
0,3,0,3,3,0,1,1,4,87.5,1,1,1,3,3,4,5,1,5,8,8,7
0,9,1,0,0,0,1,1,3,95,0,0,1,4,5,4,5,5,5,8,8,8
0,3,1,3,3,1,9,2,4,87.5,1,1,1,4,5,5,5,1,6,7,8,7
0,3,0,0,3,0,9,5,5,87.5,0,1,1,4,4,4,4,1,8,8,8,7
0,3,1,4,4,0,9,0,2,87.5,1,0,2,1,4,5,5,3,5,8,8,7
0,3,0,4,3,2,1,0,1.5,95,1,0,0,5,5,5,5,5,6,2,8,7
0,3,1,4,4,1,9,0,5,95,1,1,1,3,5,4,5,4,5,7,8,7
0,7,0,3,3,0,1,0,3,87.5,1,0,1,3,5,4,4,1,5,8,8,7
0,3,0,3,3,0,9,0,4,87.5,0,0,1,2,3,4,4,1,8,5,8,3
0,3,0,3,4,0,1,1,4,95,1,0,1,2,5,5,5,4,8,5,8,7
0,8,1,1,3,1,1,1,3,62.5,1,0,1,1,2,3,4,5,6,2,8,5
0,7,0,3,2,2,8,5,5,95,1,1,1,4,5,5,5,5,5,1,8,6
0,6,1,3,2,0,8,1,2,87.5,1,0,0,2,4,4,4,4,5,3,8,6
0,1,0,3,3,1,8,2,2,87.5,1,1,0,3,3,1,4,1,9,2,6,7
0,3,0,4,4,0,8,3,4,87.5,0,0,1,1,4,5,5,1,8,5,7,6
0,7,0,4,4,1,8,2,3,95,1,0,1,5,5,5,5,4,2,1,3,7
0,4,0,3,3,0,8,4,3,87.5,1,0,1,2,3,4,4,2,5,8,8,6
0,6,1,2,3,0,8,0,4,95,1,1,0,3,5,4,5,3,6,7,8,7
0,6,0,4,4,0,8,1,12,87.5,1,0,1,1,3,3,3,1,5,8,8,7
0,7,0,4,4,0,8,4,3,95,1,2,1,2,2,2,3,2,6,7,8,6
0,3,0,1,2,0,8,2,1,95,1,1,1,5,5,5,5,4,3,3,8,8
0,2,0,1,2,2,8,1,2,87.5,0,1,1,4,4,4,5,3,5,8,8,7
0,0,0,4,3,1,8,0,8,95,1,2,0,4,4,5,5,1,3,3,8,6
0,9,1,0,0,2,8,4,2,95,1,0,0,5,5,5,5,4,7,8,8,8
0,1,0,4,4,0,8,0,3,95,1,0,0,4,4,4,4,1,5,8,8,8
0,0,1,4,4,0,8,0,5,95,1,0,0,3,4,4,5,1,3,3,8,6
0,4,1,3,3,1,8,5,5,87.5,0,0,0,2,5,5,5,1,6,7,8,7
0,2,0,3,3,0,8,0,2,95,1,0,1,4,5,5,5,5,5,1,8,5
0,3,0,4,4,0,8,3,2,87.5,1,0,1,4,5,5,5,5,5,1,8,5
0,3,0,0,3,2,8,2,2,87.5,1,0,1,4,3,3,3,5,6,7,8,8
0,1,1,1,3,1,8,1,1,87.5,1,0,1,4,5,5,5,1,6,7,8,8
0,7,1,0,1,0,8,2,10,95,1,0,2,1,5,4,5,1,7,8,8,8
0,7,0,3,4,0,8,5,6,87.5,1,1,0,2,4,5,5,1,6,4,9,7
0,1,0,2,0,0,8,0,1,95,1,0,1,3,4,4,5,1,5,8,8,8
0,3,0,0,2,0,8,3,2.5,95,1,0,1,4,4,5,5,4,5,5,8,6
0,6,0,3,1,1,8,0,2,87.5,1,1,-1,1,2,3,4,1,5,8,8,8
0,3,0,2,2,0,7,0,4,95,1,0,0,2,4,4,4,1,5,8,8,6
0,3,0,3,4,0,5,4,2,95,1,0,0,3,4,4,5,1,8,5,7,6
0,8,0,4,4,0,5,4,3,95,1,0,1,3,4,5,5,4,1,8,1,6
0,0,0,3,4,0,5,0,5,87.5,1,1,0,5,5,5,5,1,3,3,8,7
0,8,0,1,4,0,5,2,2,87.5,1,0,1,3,5,5,5,4,2,8,8,7
0,5,0,2,3,1,5,4,3,87.5,1,0,0,3,4,5,5,3,5,8,3,8
0,1,0,2,3,1,5,1,1,95,1,1,0,4,5,5,5,1,5,8,8,7
0,8,0,3,4,2,5,6,4,95,1,0,1,3,4,5,5,2,5,5,8,4
0,8,0,1,2,0,5,0,6,62.5,1,1,0,1,4,4,4,1,5,5,8,6
0,2,0,1,2,0,5,6,3,95,1,0,1,4,4,5,5,1,8,5,7,7
0,8,1,3,3,0,5,6,9,87.5,1,0,0,1,4,5,5,2,7,8,8,2
0,0,1,2,4,0,5,0,12,95,1,0,0,1,1,3,3,1,5,8,8,7
0,7,0,0,1,0,5,1,2,87.5,1,1,1,2,4,5,5,3,5,8,8,6
0,9,1,3,3,1,5,3,5,87.5,1,1,0,2,5,5,5,2,6,7,8,7
0,1,0,3,4,0,5,0,8,87.5,0,1,1,1,4,5,5,1,6,2,8,6
0,9,1,4,3,0,5,2,2,87.5,0,1,0,1,4,5,5,3,5,8,8,7
0,9,0,3,4,0,5,0,14,87.5,1,0,1,2,4,5,5,1,5,8,8,3
0,6,0,1,3,0,5,6,1,87.5,1,0,-1,2,3,3,4,1,5,8,8,8
0,0,0,4,4,1,5,0,1,87.5,1,2,1,4,3,4,5,1,5,8,5,8
0,8,0,3,3,1,5,2,5,87.5,1,1,1,3,3,5,5,3,6,8,8,7
0,3,0,2,3,0,5,1,1,95,1,0,0,3,5,5,5,2,5,8,8,7
0,1,1,2,3,0,5,3,4,87.5,1,0,0,1,1,3,4,1,6,8,8,4
0,2,0,2,3,1,5,3,2,62.5,0,0,0,4,5,5,5,5,5,1,8,6
0,1,0,3,3,1,5,3,3,87.5,1,0,2,1,3,4,5,1,5,8,5,4
0,9,0,3,4,1,5,0,1,95,0,1,0,4,4,5,5,3,4,8,4,3
0,7,0,3,3,1,5,0,1,87.5,1,0,0,4,5,5,5,1,5,7,8,7
0,1,0,4,4,0,5,0,4,87.5,0,0,1,2,2,3,5,1,5,5,8,7
0,9,1,0,4,0,5,7,5,87.5,0,1,-1,1,1,1,1,1,6,7,8,7
0,6,1,1,2,1,5,3,3,95,1,0,0,1,1,1,1,1,3,3,8,7
1,4,0,4,4,0,3,0,8,87.5,1,0,1,1,3,4,5,1,2,8,3,4
1,5,0,4,4,0,3,0,3,87.5,1,0,2,3,3,3,3,1,8,8,8,5
1,6,0,2,3,0,3,5,6,95,1,2,2,3,3,3,3,1,5,8,5,6
1,2,0,3,3,0,3,0,3,87.5,1,0,2,1,4,5,5,1,6,4,8,6
1,1,1,4,4,0,3,0.5,2,87.5,0,1,0,1,4,4,4,1,1,6,8,6
1,6,0,4,4,0,3,0,5,87.5,1,2,1,2,3,5,5,1,1,8,8,7
1,6,1,3,4,0,3,0,5,87.5,0,0,1,3,5,5,5,1,9,8,6,3
1,5,0,4,3,1,3,2,5,87.5,0,1,0,3,5,5,5,3,8,8,8,3
1,0,1,4,4,1,3,4,2,95,0,0,-1,1,4,4,4,1,2,8,8,5
1,5,0,3,3,0,3,1,1,87.5,1,1,0,3,5,5,5,3,5,8,8,7
1,1,0,3,3,0,3,0,1,95,1,0,-2,2,5,5,5,1,7,8,9,7
1,5,1,3,3,0,3,0,1,87.5,1,0,2,2,5,5,5,1,7,8,9,8
1,9,0,4,4,1,3,0,3,87.5,1,1,2,2,5,5,5,2,7,1,9,7
1,5,1,4,3,0,3,3,4,95,1,1,0,1,1,4,5,1,6,7,8,5
1,5,1,4,3,0,3,0,4,87.5,1,0,-1,1,1,1,4,1,5,1,8,5
1,5,1,4,4,0,3,1,5,95,1,0,1,1,2,3,4,5,9,8,6,7
1,0,0,4,4,2,3,0,4,95,1,2,2,5,2,3,4,1,5,8,8,7
1,0,1,4,4,0,3,0,10,87.5,1,2,2,2,1,2,3,1,5,8,8,5
1,0,0,4,4,0,3,2,10,62.5,1,0,2,3,3,4,5,1,5,8,5,6
1,0,0,4,4,0,3,4,6,95,1,0,0,3,4,4,4,1,5,8,8,4
1,0,0,3,4,0,3,2,2,95,1,0,0,5,3,4,5,1,3,3,8,6
1,0,0,3,3,0,3,1,4,87.5,1,0,0,3,4,5,5,1,5,3,8,4
1,4,0,3,4,0,3,0,9,95,1,0,2,3,4,4,4,1,5,8,8,5
1,0,1,4,3,1,3,0,4,95,1,0,1,2,5,5,5,1,5,8,8,6
1,8,0,4,4,1,3,2,2,95,0,2,-1,3,4,5,5,5,1,7,1,7
1,3,0,3,4,0,3,3,4,87.5,1,1,0,4,3,3,4,1,5,1,8,3
1,8,0,4,4,1,3,0,3,95,1,1,0,1,4,5,5,1,5,8,5,5
0,1,0,4,4,1,0,7,8,95,0,0,1,3,5,5,5,1,3,3,8,7
0,8,1,4,3,0,0,0,7,87.5,1,1,0,2,3,4,5,3,6,7,8,5
0,4,1,4,3,0,0,3,4,95,1,0,-1,3,4,4,4,2,1,8,8,5
0,0,1,1,3,0,0,0,12,62.5,0,0,2,2,4,2,4,1,5,8,8,7
0,1,0,3,4,0,0,3,3,87.5,1,1,-1,3,4,4,5,1,5,8,8,7
0,5,1,2,3,0,0,2,0.5,87.5,1,0,0,3,3,3,4,3,6,7,8,6
0,4,0,4,4,0,0,3,4,87.5,1,1,0,3,4,5,5,1,4,8,4,3
0,5,0,3,3,0,0,3,6,87.5,1,1,0,2,5,5,5,3,5,8,8,6
0,3,1,3,3,1,0,2,2,87.5,1,0,1,2,2,3,5,1,5,1,8,7
0,3,0,2,3,0,0,2,8,95,1,0,1,3,4,5,5,5,5,8,8,7
0,5,0,3,3,0,0,4,10,87.5,1,0,1,3,4,5,5,3,6,2,8,8
0,0,0,3,3,0,0,2,4,87.5,1,0,0,2,4,4,4,1,5,8,8,5
0,1,0,3,3,1,0,1,3,87.5,1,1,0,4,5,4,5,5,6,8,8,6
0,2,0,1,2,2,0,4,3,87.5,1,1,2,5,5,5,5,3,5,8,8,6
0,2,0,1,2,2,0,2,2,87.5,1,0,2,1,2,2,2,1,6,2,9,7
0,5,0,4,2,1,0,5,10,87.5,1,1,0,4,3,3,5,1,5,8,8,7
0,2,0,4,3,0,0,5,5,95,1,0,1,3,4,4,5,1,1,6,8,7
0,4,0,0,1,0,0,0,2,95,1,1,1,4,4,4,4,4,5,8,8,6
0,3,0,4,3,0,0,0.5,3,95,1,0,0,4,4,5,5,3,8,5,7,6
0,5,0,4,4,0,0,0.5,3,87.5,1,0,0,3,3,3,3,1,5,5,8,7
0,5,0,1,3,0,0,2,4,87.5,1,0,0,3,3,4,5,2,6,8,8,8
0,3,0,0,0,0,0,6,2,95,1,1,0,2,4,4,4,3,8,9,8,8
0,5,0,0,0,0,0,7,3,87.5,1,1,1,4,4,4,4,4,6,7,8,6
0,9,1,3,2,0,0,2,4,87.5,1,0,1,1,4,4,4,5,6,4,8,6
0,9,1,3,3,0,0,1,5,87.5,1,0,0,1,3,3,3,1,6,4,8,6
0,3,0,4,4,1,0,0,1,95,1,0,2,4,5,5,5,4,8,5,7,5
0,1,1,2,3,0,0,2,3,95,1,0,-1,3,4,5,5,1,6,8,8,7
0,5,0,3,3,1,0,0,2,87.5,0,0,2,1,4,5,5,1,5,7,8,4
0,5,1,2,2,0,0,7,7,87.5,1,0,-2,1,3,4,5,1,5,7,2,8
0,4,1,1,0,0,0,6,6,87.5,0,1,0,5,5,3,5,1,9,2,8,6
0,3,0,3,4,0,0,0,2,95,1,1,-1,2,4,3,3,1,3,3,8,7
0,7,0,2,2,0,0,0,5,95,1,0,-1,3,3,4,5,2,5,8,8,7
0,3,0,3,4,0,0,4,3,95,1,0,1,5,5,5,5,3,5,9,5,4
0,2,1,0,1,0,0,1,3,62.5,1,0,2,3,3,3,3,1,4,8,8,8
0,4,0,0,2,1,0,3,14,87.5,0,2,2,2,3,4,5,1,5,8,8,8
0,6,0,1,2,0,0,4,6,87.5,0,0,2,1,3,2,5,1,1,8,1,8
